T,EC,VWC,Emisi
26.025,0.02,0.2866,3.946666667
26.075,0.02,0.2859,3.973333333
26.375,0.02,0.2863,4.156666667
27.325,0.02,0.2888,4.333333333
28.425,0.02,0.29055,4.646666667
29.325,0.02,0.2926,4.736666667
29.85,0.02,0.292825,4.346666667
29.775,0.02,0.291,4.293333333
29.7,0.02,0.28965,4.11
29.725,0.02,0.288175,3.983333333
29.525,0.02,0.286775,3.92
29.15,0.02,0.285825,3.95
28.7,0.02,0.2837,3.82
28.2,0.02,0.281475,3.85
27.725,0.02,0.2812,3.776666667
27.275,0.02,0.280025,3.893333333
26.95,0.02,0.27865,3.843333333
26.6,0.02,0.27795,3.856666667
26.4,0.02,0.277525,3.9
26.225,0.02,0.277125,3.883333333
26.075,0.02,0.276325,3.896666667
25.975,0.02,0.275825,3.923333333
25.875,0.02,0.27605,3.826666667
25.775,0.02,0.27515,3.773333333
25.7,0.02,0.276525,3.853333333
25.875,0.02,0.276225,3.94
26.5,0.02,0.27735,4.546666667
27.45,0.02,0.280425,4.566666667
28.7,0.02,0.2829,5.036666667
30.475,0.02,0.28605,5.183333333
31.875,0.02,0.288875,4.913333333
31.975,0.02,0.2866,4.72
31.7,0.02,0.28345,4.553333333
31.35,0.02,0.282025,4.936666667
30.775,0.02,0.279775,4.3
30.1,0.02,0.276875,4.19
29.45,0.02,0.274525,4.116666667
28.8,0.02,0.27305,4.066666667
28.275,0.02,0.27215,4.11
27.75,0.02,0.27085,4.206666667
27.35,0.02,0.270025,3.87
27.025,0.02,0.2684,3.946666667
26.7,0.02,0.26815,4.013333333
26.5,0.02,0.267375,3.993333333
26.225,0.02,0.266625,3.97
25.975,0.02,0.2659,3.943333333
25.7,0.02,0.265675,3.95
25.425,0.02,0.264725,3.72
25.2,0.02,0.26415,3.756666667
25.25,0.02,0.26415,4.203333333
26.175,0.02,0.2667,4.353333333
27.9,0.02,0.27135,4.383333333
29.2,0.02,0.274525,4.77
29.575,0.02,0.27565,5.1
30.225,0.02,0.2769,4.773333333
30.65,0.02,0.2785,4.833333333
30.975,0.02,0.279225,4.97
31.225,0.02,0.278475,4.576666667
31.025,0.02,0.276775,4.196666667
30.6,0.02,0.2763,4.39
29.9,0.02,0.2741,4.096666667
29.2,0.02,0.27225,4.066666667
28.675,0.02,0.271175,3.963333333
28.25,0.02,0.269775,4.003333333
27.85,0.02,0.2692,3.99
27.525,0.02,0.2679,4.026666667
27.3,0.02,0.267975,3.88
27.1,0.02,0.2675,4.09
26.9,0.02,0.266475,4.03
26.625,0.02,0.26665,3.72
26.325,0.02,0.265725,3.89
26.05,0.02,0.264725,3.796666667
25.875,0.02,0.2654,3.953333333
25.9,0.02,0.265325,3.946666667
26.475,0.02,0.26565,4.06
27.575,0.02,0.26905,4.466666667
29.55,0.02,0.273775,4.77
31.725,0.02,0.2784,5.136666667
33.275,0.02,0.280275,5.123333333
33.35,0.02,0.279,5
33.05,0.02,0.277275,4.9
32.85,0.02,0.2748,4.95
23.9,0.0625,0.4272,0.303333333
24.55,0.0325,0.408475,0.476666667
25.025,0.03,0.400525,0.736666667
25.175,0.0275,0.389075,1.043333333
25.2,0.02,0.38495,1.22
25.2,0.02,0.379775,1.533333333
25.2,0.02,0.37535,1.803333333
25.2,0.02,0.3732,1.893333333
25.1,0.02,0.37025,1.956666667
25.025,0.02,0.3676,2
24.9,0.02,0.365975,2.056666667
24.825,0.02,0.364575,2.133333333
24.85,0.02,0.3625,2.333333333
25.25,0.02,0.36075,2.793333333
26.05,0.02,0.35975,3.226666667
26.85,0.02,0.358775,3.8
30.075,0.02,0.35165,5.403333333
30.65,0.02,0.3489,5.046666667
30.7,0.02,0.346025,4.616666667
30.65,0.02,0.343525,4.583333333
30.6,0.02,0.34065,4.323333333
29.9,0.02,0.338075,4.2
29.1,0.02,0.336275,4.096666667
28.325,0.02,0.3358,4.09
27.725,0.02,0.33425,3.81
27.2,0.02,0.3333,4.046666667
26.75,0.02,0.333125,3.886666667
26.4,0.02,0.33205,3.873333333
26.15,0.02,0.33205,3.913333333
25.975,0.02,0.33125,4.016666667
25.8,0.02,0.3307,3.83
25.525,0.02,0.3306,3.813333333
25.3,0.02,0.33095,3.696666667
25.075,0.02,0.33165,3.976666667
25.025,0.02,0.331925,4.15
25.725,0.02,0.330725,4.473333333
27.425,0.02,0.3319,4.646666667
29.325,0.02,0.3332,5.31
31.5,0.02,0.33385,5.216666667
31.8,0.02,0.33075,5.55
31.4,0.02,0.323925,5.45
30.85,0.02,0.32035,5.26
30.225,0.02,0.32085,5.18
29.45,0.02,0.324075,4.473333333
28.625,0.0275,0.3674,4.24
27.1,0.02,0.363925,4.273333333
26.8,0.02,0.3602,4.166666667
26.55,0.02,0.35785,4.18
26.35,0.02,0.356575,4.153333333
26.15,0.02,0.354875,4.193333333
25.95,0.02,0.351575,4.146666667
25.75,0.02,0.350825,4.183333333
25.55,0.02,0.3484,4.263333333
25.375,0.02,0.347225,4.1
25.2,0.02,0.345225,4.033333333
25.175,0.02,0.3463,4.333333333
25.625,0.02,0.345125,4.24
28.575,0.02,0.3444,5.146666667
30.4,0.02,0.3426,5.763333333
32.225,0.02,0.3403,5.866666667
31.975,0.02,0.3351,5.743333333
31.525,0.02,0.330075,5.796666667
32.325,0.02,0.329375,5.28
32.075,0.02,0.324275,5.043333333
31.3,0.02,0.320275,4.743333333
30.375,0.02,0.3165,4.693333333
29.5,0.02,0.3139,4.716666667
28.825,0.02,0.312025,4.603333333
28.225,0.02,0.310575,4.47
27.75,0.02,0.30895,4.616666667
27.35,0.02,0.307925,4.436666667
26.95,0.02,0.30695,4.376666667
26.65,0.02,0.306775,4.456666667
26.325,0.02,0.30575,4.263333333
26.025,0.02,0.3056,4.276666667
25.75,0.02,0.305225,4.17
25.475,0.02,0.30485,4.303333333
25.25,0.02,0.305675,4.716666667
25.3,0.02,0.304775,4.613333333
26.25,0.02,0.306375,5.086666667
28.025,0.02,0.308125,5.243333333
29.475,0.02,0.310225,5.353333333
30.8,0.02,0.310725,5.463333333
32.1,0.0125,0.311025,5.426666667
31.93333333,0.01,0.306833333,5.243333333
31.675,0.01,0.305575,5.196666667
32.275,0.01,0.304925,5.023333333
31.975,0.01,0.302375,4.753333333
31.375,0.01,0.2986,4.74
30.7,0.01,0.2966,4.636666667
29.925,0.01,0.29385,4.756666667
29.25,0.01,0.2922,4.616666667
28.725,0.01,0.290175,4.66
28.25,0.01,0.29015,4.54
27.85,0.01,0.288475,4.383333333
27.5,0.01,0.286525,4.693333333
27.15,0.01,0.285575,4.47
26.825,0.01,0.28465,4.47
26.525,0.01,0.285025,4.33
26.25,0.01,0.2849,4.373333333
26,0.01,0.2839,4.32
25.75,0.01,0.28335,4.463333333
32.875,0.01,0.29045,5.236666667
32.75,0.01,0.289825,4.973333333
32.075,0.01,0.285825,4.966666667
31.125,0.01,0.28275,4.8
30.3,0.01,0.280425,4.706666667
29.575,0.01,0.278325,4.636666667
28.975,0.01,0.277275,4.566666667
28.45,0.01,0.2759,4.416666667
27.95,0.01,0.2755,4.393333333
27.55,0.01,0.27415,4.643333333
27.15,0.01,0.2734,4.233333333
26.75,0.01,0.271275,4.556666667
26.35,0.01,0.271525,4.066666667
26.075,0.01,0.271425,4.35
25.8,0.01,0.271325,3.976666667
25.625,0.01,0.271525,3.906666667
25.675,0.01,0.273625,4.243333333
26.35,0.01,0.27225,4.756666667
27.8,0.01,0.275525,4.883333333
29.775,0.01,0.2796,5.273333333
31.85,0.01,0.2854,5.473333333
33.25,0.01,0.286525,5.35
32.7,0.01,0.282575,5.433333333
32.275,0.01,0.2797,5.363333333
32.8,0.01,0.28115,5.083333333
32.85,0.01,0.279,4.786666667
32.15,0.01,0.27615,4.633333333
31.15,0.01,0.272625,4.463333333
30.2,0.01,0.26985,4.45
29.4,0.01,0.2682,4.39
28.7,0.01,0.26665,4.206666667
28.1,0.01,0.264975,4.31
27.55,0.01,0.263725,4.333333333
27.05,0.01,0.261625,4.16
26.65,0.01,0.2617,4.246666667
26.2,0.01,0.261375,4.18
25.75,0.01,0.261225,4.073333333
25.425,0.01,0.26415,3.893333333
25.05,0.01,0.263825,3.9
24.725,0.01,0.261975,3.83
24.675,0.01,0.26225,4.523333333
25.45,0.01,0.25895,4.28
26.85,0.01,0.26365,4.723333333
28.9,0.01,0.269125,5.16
31.15,0.01,0.274525,5.113333333
32.7,0.01,0.277375,5.313333333
32.225,0.01,0.274475,5.093333333
31.825,0.01,0.271525,5.37
32.425,0.01,0.272025,5.063333333
32.425,0.01,0.271,4.65
31.65,0.01,0.267325,4.62
30.75,0.01,0.264725,4.47
29.9,0.01,0.2614,4.32
29.125,0.01,0.2596,4.21
28.45,0.01,0.257925,4.176666667
27.9,0.01,0.255875,4.116666667
27.375,0.01,0.256325,3.98
26.95,0.01,0.2546,3.98
26.55,0.01,0.2534,3.806666667
26.275,0.01,0.2535,3.7
25.975,0.01,0.252275,3.733333333
25.65,0.01,0.253225,3.806666667
25.35,0.01,0.255875,3.78
25.125,0.01,0.25765,3.873333333
25.2,0.01,0.257425,3.993333333
25.925,0.01,0.25495,4.113333333
27.375,0.01,0.25835,4.36
29.175,0.01,0.26355,4.283333333
30.8,0.01,0.267225,4.406666667
31.725,0.01,0.2688,4.063333333
31.9,0.01,0.26855,4.566666667
32.075,0.01,0.2675,4.74
32.825,0.01,0.268875,4.183333333
32.975,0.01,0.26775,4.05
32.375,0.01,0.26415,3.94
31.525,0.01,0.261375,4.01
30.675,0.01,0.258175,3.953333333
29.925,0.01,0.256375,3.91
29.275,0.01,0.25435,3.836666667
28.725,0.01,0.253075,3.85
28.25,0.01,0.2517,3.603333333
27.85,0.01,0.251125,3.913333333
27.45,0.01,0.250775,3.913333333
27.175,0.01,0.250925,3.663333333
26.95,0.01,0.25015,3.696666667
26.7,0.01,0.2498,3.933333333
26.5,0.01,0.24935,3.833333333
26.325,0.01,0.249525,3.7
26.375,0.01,0.25015,3.87
27.075,0.01,0.251175,4.396666667
28.575,0.01,0.255975,4.71
30.5,0.01,0.261475,4.65
32.425,0.01,0.26625,4.553333333
33.675,0.01,0.267075,4.706666667
33.35,0.01,0.265,4.623333333
33.175,0.01,0.262825,4.53
33.425,0.01,0.2624,4.223333333
33.325,0.01,0.261875,4.006666667
32.7,0.01,0.258875,3.923333333
31.8,0.01,0.255225,3.906666667
30.9,0.01,0.25205,3.953333333
30.1,0.01,0.250925,3.893333333
29.45,0.01,0.249975,3.87
28.925,0.01,0.2492,3.796666667
28.5,0.01,0.248825,3.706666667
28.225,0.01,0.2486,3.826666667
27.85,0.01,0.2485,3.756666667
27.5,0.01,0.24805,3.55
27.2,0.01,0.24805,3.636666667
26.95,0.01,0.2479,3.65
26.75,0.01,0.247875,3.606666667
26.55,0.01,0.2478,3.803333333
26.65,0.01,0.247975,3.986666667
27.275,0.01,0.24865,4.42
28.75,0.01,0.252025,4.87
30.55,0.01,0.257025,4.736666667
32.425,0.01,0.260625,4.886666667
33.425,0.01,0.262375,4.946666667
33.075,0.01,0.259975,4.863333333
32.825,0.01,0.258375,4.723333333
33.25,0.01,0.258275,4.403333333
33.25,0.0075,0.2656,4.233333333
32.7,0.01,0.264225,4.036666667
31.875,0.0075,0.2602,4.02
31,0,0.257,4.003333333
30.325,0,0.255475,3.963333333
29.7,0,0.253175,4.033333333
29.175,0,0.2518,3.903333333
28.7,0,0.2511,3.583333333
28.25,0,0.250675,3.933333333
27.9,0,0.250225,3.94
27.65,0,0.24945,3.703333333
27.45,0,0.24945,3.773333333
27.2,0,0.249275,3.923333333
27,0,0.249,3.683333333
26.75,0,0.24875,3.583333333
26.8,0,0.249375,3.773333333
27.5,0,0.25065,4.256666667
28.725,0,0.25385,4.496666667
30.25,0.0025,0.25755,4.79
32.075,0,0.2619,5.27
33.625,0,0.2647,5.213333333
28.375,0.05,0.3933,2.733333333
29.375,0.0375,0.373625,3.843333333
29.825,0.03,0.3629,4.26
29.6,0.03,0.3566,4
29,0.03,0.35145,3.993333333
28.475,0.03,0.347975,3.963333333
28,0.03,0.3439,4.13
27.55,0.03,0.3404,3.743333333
27.225,0.03,0.338475,3.72
26.975,0.03,0.335625,3.716666667
26.75,0.03,0.334075,3.85
26.55,0.03,0.333075,3.746666667
26.35,0.03,0.331575,3.706666667
26.15,0.03,0.3301,3.733333333
25.975,0.0225,0.328425,3.686666667
25.8,0.02,0.3267,3.64
25.6,0.02,0.32615,3.76
25.575,0.02,0.3249,4.19
26.35,0.02,0.325325,4.893333333
30.15,0.02,0.3254,5.793333333
31.975,0.02,0.3235,5.383333333
32.95,0.02,0.320225,5.296666667
32.7,0.02,0.314625,5.23
32.7,0.02,0.31145,4.94
33.025,0.02,0.309625,4.816666667
33.05,0.01,0.306675,4.633333333
32.55,0.01,0.3035,4.333333333
31.55,0.01,0.298725,4.236666667
30.525,0.01,0.294525,4.346666667
29.725,0.01,0.29235,4.243333333
29.1,0.01,0.289575,4.156666667
28.575,0.01,0.28825,4.1
28.1,0.01,0.286275,3.993333333
27.675,0.01,0.28525,3.883333333
27.375,0.01,0.2828,3.84
27.175,0.01,0.28265,3.923333333
27,0.01,0.28155,3.833333333
26.8,0.01,0.280825,3.983333333
26.55,0.01,0.280175,3.796666667
26.375,0.01,0.278325,3.923333333
26.4,0.01,0.27915,4.38
27.025,0.01,0.281275,4.5
28.325,0.01,0.284375,4.576666667
29.9,0.01,0.2883,4.966666667
31.675,0.01,0.2909,4.996666667
32.975,0.01,0.2932,5.166666667
32.95,0.01,0.290675,4.946666667
32.975,0.01,0.290175,4.793333333
33.55,0.01,0.2902,4.7
33.3,0.01,0.2881,4.323333333
32.55,0.01,0.284575,4.113333333
31.5,0.01,0.2813,4.11
30.6,0.01,0.2781,4.163333333
29.8,0.01,0.27605,3.873333333
29.15,0.01,0.27405,3.973333333
28.575,0.01,0.27215,3.993333333
28.15,0.01,0.2707,3.873333333
27.725,0.01,0.269125,3.806666667
27.35,0.01,0.268825,3.66
27.05,0.01,0.268275,3.826666667
26.75,0.01,0.2664,3.713333333
26.475,0.01,0.265725,3.923333333
26.25,0.01,0.264725,3.866666667
26.05,0.01,0.26405,3.91
26.075,0.01,0.264975,3.963333333
26.7,0.01,0.267,4.073333333
27.7,0.01,0.26955,4.286666667
29.075,0.01,0.272825,4.483333333
30.925,0.01,0.276875,4.87
32.2,0.01,0.280575,5.02
32.225,0.01,0.278075,4.983333333
32.375,0.01,0.277725,5.093333333
33.275,0.01,0.279375,4.603333333
33.125,0.01,0.277275,4.383333333
32.4,0.01,0.274925,4.183333333
31.475,0.01,0.272225,4.236666667
30.6,0.01,0.268875,4.1
29.85,0.01,0.267325,4.256666667
29.275,0.01,0.265225,3.973333333
28.75,0.01,0.264,4.15
28.35,0.01,0.2634,3.89
27.975,0.01,0.2623,3.926666667
27.65,0.01,0.2609,4.073333333
27.375,0.01,0.260625,3.943333333
27.2,0.01,0.2602,3.943333333
27.125,0.01,0.2603,3.94
27,0.01,0.26055,3.94
26.825,0.01,0.260125,4.013333333
26.9,0.01,0.2602,3.966666667
27.325,0.01,0.261375,4.216666667
28.25,0.01,0.263475,4.5
29.875,0.01,0.2677,4.793333333
31.675,0.01,0.27215,4.836666667
33.125,0.01,0.274875,4.59
33.225,0.01,0.2738,4.703333333
33.125,0.01,0.27225,4.306666667
32.625,0.01,0.27035,4.206666667
32.05,0.01,0.268725,4.236666667
31.525,0.01,0.2663,4.09
30.95,0.01,0.2644,4.05
30.25,0.01,0.26215,4.13
29.65,0.01,0.260875,3.976666667
29.15,0.01,0.2592,3.98
28.7,0.01,0.25855,3.746666667
28.45,0.01,0.25725,3.72
28.3,0.01,0.256975,3.783333333
28.05,0.01,0.256475,3.82
27.725,0.01,0.255975,4.03
27.525,0.01,0.255875,3.876666667
27.45,0.01,0.255125,3.76
27.35,0.01,0.255475,3.52
27.1,0.01,0.25435,3.55
27.075,0.01,0.254775,4.12
27.6,0.01,0.256725,4.18
28.675,0.01,0.2591,4.203333333
30.3,0.01,0.2635,4.456666667
32.225,0.01,0.26755,4.703333333
33.425,0.01,0.2696,4.823333333
33.5,0.01,0.268075,5.076666667
33.55,0.01,0.267325,4.663333333
33.775,0.01,0.26705,4.316666667
33.55,0.01,0.265475,4.206666667
33,0.01,0.2634,4.13
32.15,0.01,0.260125,4.063333333
31.3,0.01,0.25765,4.093333333
30.65,0.01,0.2563,3.946666667
30.075,0.01,0.254025,3.996666667
29.625,0.01,0.253175,3.91
29.15,0.01,0.2524,3.766666667
28.8,0.01,0.251525,4.056666667
28.475,0.01,0.251375,3.96
28.25,0.01,0.250775,3.793333333
28,0.01,0.25085,3.833333333
27.85,0.01,0.2506,3.98
27.7,0.01,0.250575,3.776666667
27.6,0.01,0.250425,3.726666667
27.65,0.01,0.251025,4.013333333
27.95,0.01,0.251125,4.24
28.525,0.01,0.25265,4.266666667
29.2,0.01,0.25375,4.853333333
30.35,0.01,0.257575,4.793333333
31.525,0.01,0.260125,5.033333333
32.2,0.01,0.2601,4.723333333
32.65,0.01,0.2603,4.483333333
32.3,0.01,0.2585,4.436666667
31.85,0.01,0.258125,4.413333333
31.425,0.01,0.2569,4.2
30.9,0.01,0.25555,4.18
30.35,0.01,0.25335,4.34
29.9,0.01,0.252025,4.083333333
29.45,0.01,0.25215,3.933333333
29.125,0.01,0.2512,3.886666667
28.825,0.01,0.2504,3.81
28.6,0.01,0.250225,3.693333333
28.4,0.01,0.249875,4.04
28.075,0.01,0.249375,4.006666667
27.8,0.01,0.2492,3.876666667
27.525,0.01,0.249175,3.723333333
27.275,0.01,0.2491,3.89
27,0.0075,0.24875,4.06
27.05,0.01,0.249,4.156666667
27.7,0.01,0.2498,4.253333333
28.5,0.01,0.2516,4.59
30,0.01,0.25465,5.03
31.65,0.01,0.258675,4.696666667
32.6,0.01,0.260425,4.85
33.03333333,0.01,0.259866667,4.386666667
33.05,0.01,0.25945,4.55
32.875,0.01,0.257875,4.326666667
32.55,0.01,0.2558,4.05
32.15,0.01,0.2548,4.09
31.5,0.01,0.2528,3.893333333
30.85,0.01,0.251,3.793333333
30.25,0.01,0.25005,4.003333333
29.7,0.0075,0.24945,3.926666667
29.25,0.0025,0.24875,3.733333333
28.85,0,0.2484,3.836666667
28.525,0,0.2479,3.963333333
28.225,0,0.2479,3.896666667
27.925,0,0.2478,3.636666667
27.675,0,0.247875,3.826666667
27.45,0,0.247775,3.8
27.25,0,0.247775,3.88
27.125,0,0.2477,3.72
27.175,0,0.2477,4.043333333
27.525,0.005,0.24815,4.046666667
28.025,0.0075,0.24865,4.143333333
28.925,0.01,0.2498,4.27
30.275,0.01,0.252225,4.023333333
31.35,0.01,0.25445,4.126666667
31.625,0.01,0.25435,3.883333333
31.85,0.01,0.253925,3.833333333
31.9,0.01,0.254,3.776666667
31.85,0.0075,0.252475,3.763333333
31.6,0.0025,0.251425,3.73
31.025,0.0025,0.250425,3.59
30.35,0,0.2491,3.54
29.725,0,0.2483,3.656666667
29.25,0,0.248125,3.406666667
28.85,0,0.247875,3.75
28.45,0,0.2473,3.683333333
28.1,0,0.2472,3.73
27.8,0,0.247125,3.55
27.625,0,0.2472,3.75
27.5,0,0.246875,3.63
27.25,0,0.2468,3.64
27.2,0,0.246875,3.47
27.1,0,0.24705,3.74
27.2,0,0.2472,3.493333333
27.425,0,0.2476,3.816666667
27.825,0.005,0.24795,3.84
28.4,0.01,0.248225,3.986666667
29,0.01,0.248925,3.753333333
29.475,0.01,0.249425,3.993333333
29.95,0.005,0.2503,4.13
30.8,0.01,0.251875,4.263333333
31.475,0.0075,0.252275,4.246666667
32,0.005,0.2488,3.843333333
31.75,0,0.2514,3.7
31.175,0,0.249975,3.686666667
30.425,0,0.249125,4.1
29.825,0,0.24805,3.206666667
28.9,0,0.24555,4.606666667
27.975,0,0.250175,4.46
27.475,0,0.2492,4.496666667
27.125,0,0.2489,4.38
26.8,0,0.24885,4.29
26.55,0,0.2486,4.33
26.375,0,0.24875,4.19
26.25,0,0.249,4.153333333
26.025,0,0.249025,4.16
25.9,0,0.2492,4.006666667
25.975,0.005,0.2491,4.366666667
26.95,0.01,0.25145,4.79
28.475,0.01,0.25655,4.89
30.425,0.01,0.2612,4.966666667
31.85,0.01,0.265225,5.013333333
32.775,0.01,0.265975,5.246666667
32.7,0.01,0.264825,5.073333333
32.975,0.01,0.264675,5.163333333
33.275,0.01,0.265225,4.843333333
32.75,0.01,0.262725,4.746666667
32.175,0.01,0.260725,4.343333333
31.325,0.01,0.258025,4.246666667
30.575,0.01,0.255725,4.343333333
29.9,0.01,0.254175,4.133333333
29.3,0.01,0.2523,4.026666667
28.775,0.01,0.251,4.006666667
28.25,0.01,0.2506,3.84
27.85,0.01,0.249625,4.223333333
27.45,0.01,0.2493,3.933333333
27.05,0.01,0.24875,4.173333333
26.725,0.01,0.248575,4.083333333
26.45,0.01,0.248225,3.766666667
26.2,0.01,0.247975,3.663333333
26.025,0.01,0.24815,3.57
26.1,0.01,0.2483,3.913333333
26.975,0.01,0.25,4.75
28.525,0.01,0.25315,4.696666667
32.35,0.01,0.2628,5.34
33.575,0.01,0.264075,5.103333333
32.875,0.01,0.260575,4.936666667
33.025,0.01,0.2598,4.713333333
33.7,0.01,0.26055,4.303333333
33.13333333,0.01,0.2573,3.903333333
32.25,0.01,0.2548,3.846666667
31.15,0.0025,0.251775,3.926666667
30.05,0,0.24945,3.756666667
29.2,0,0.2484,3.77
28.525,0,0.247875,3.71
27.9,0,0.247625,3.633333333
27.375,0,0.24705,3.763333333
26.875,0,0.246975,3.636666667
26.45,0,0.246525,3.556666667
26.125,0,0.24635,3.543333333
25.8,0,0.246425,3.596666667
25.5,0,0.246275,3.393333333
25.25,0,0.246,3.506666667
25.05,0,0.245575,3.31
25.125,0,0.245725,3.903333333
26.075,0,0.24685,4.05
27.675,0.0075,0.248675,4.326666667
29.775,0.01,0.251625,4.333333333
32,0.0075,0.2568,4.473333333
33.45,0.0025,0.259375,4.363333333
33.175,0.005,0.25555,4.193333333
33.3,0.0025,0.25485,4.12
33.475,0,0.254175,3.903333333
33.06666667,0,0.2517,3.586666667
32.25,0,0.249475,3.623333333
31.25,0,0.248575,3.536666667
30.325,0,0.2476,3.503333333
29.55,0,0.247125,3.566666667
29,0,0.246425,3.413333333
28.425,0,0.24635,3.25
27.9,0,0.245825,3.39
27.375,0,0.245475,3.356666667
26.9,0,0.2453,3.356666667
26.45,0,0.245025,3.403333333
26.125,0,0.244875,3.5
25.825,0,0.2447,3.31
25.6,0,0.24435,3.283333333
25.5,0,0.2446,3.563333333
25.65,0,0.24485,3.873333333
26.375,0,0.245825,4.456666667
27.725,0,0.24695,4.383333333
29.475,0.0025,0.248475,4.473333333
31.375,0,0.250925,4.82
32.85,0,0.25325,4.746666667
33,0,0.25195,4.483333333
33.3,0,0.25085,4.41
33.5,0,0.250675,4.086666667
33.15,0,0.24935,3.916666667
32.4,0,0.248025,3.876666667
31.55,0,0.2472,3.88
30.675,0,0.246525,3.723333333
29.925,0,0.2458,3.83
29.3,0,0.245125,3.63
28.775,0,0.24485,3.643333333
28.275,0,0.2444,3.566666667
27.85,0,0.2446,3.41
27.45,0,0.24435,3.683333333
27.1,0,0.244,3.31
26.8,0,0.243725,3.506666667
26.525,0,0.2438,3.57
26.3,0,0.243725,3.526666667
26.2,0,0.2439,3.76
26.225,0,0.243875,3.796666667
26.875,0,0.244875,3.97
28.2,0,0.246175,4.083333333
29.85,0,0.24745,4.133333333
31.575,0,0.249175,4.286666667
32.625,0,0.24945,4.416666667
33.025,0,0.249,4.4
33.425,0,0.249,4.413333333
33.6,0,0.248575,4
32.925,0,0.247625,3.96
32.1,0,0.246525,3.826666667
31.375,0,0.246025,3.736666667
30.675,0,0.24555,3.786666667
30,0,0.244875,3.75
29.45,0,0.244325,3.613333333
29.05,0,0.244,3.606666667
28.65,0,0.24375,3.72
28.25,0,0.24355,3.71
27.95,0,0.24355,3.49
27.625,0,0.243825,3.52
27.325,0,0.24355,3.616666667
27.05,0,0.243275,3.32
26.825,0,0.243375,3.446666667
26.625,0,0.2432,3.513333333
26.75,0,0.24345,3.683333333
27.6,0,0.244525,3.813333333
28.825,0,0.245475,4.086666667
30.16666667,0,0.246733333,4.326666667
31.825,0,0.248225,4.453333333
33.3,0,0.248825,4.16
32.75,0,0.2477,3.846666667
31.725,0,0.24635,3.703333333
31.15,0,0.246,3.773333333
31,0,0.24565,3.64
33.5,0,0.243475,4.473333333
32.775,0,0.242675,3.97
31.85,0,0.24175,3.65
31,0,0.240975,3.583333333
30.3,0,0.2412,3.596666667
29.725,0,0.24035,3.513333333
29.225,0,0.240075,3.643333333
28.75,0,0.240075,3.51
28.35,0,0.239925,3.47
28.05,0,0.239625,3.556666667
27.7,0,0.239725,3.486666667
27.425,0,0.239575,3.33
27.2,0,0.23965,3.226666667
27,0,0.239475,3.31
26.825,0,0.239725,3.44
26.9,0,0.24,3.64
27.475,0,0.240425,3.876666667
28.65,0,0.24115,3.97
30.33333333,0,0.243033333,4.353333333
31.7,0,0.243975,4.033333333
32.175,0,0.2439,4.3
